S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,MRF,123505.00,21.17,52380.24,0.19,702.25,35.50,8044.22,13.70,15.73
2.,Balkrishna Inds,2142.00,33.31,41408.54,0.75,299.46,-18.75,2932.82,6.56,12.38
3.,Apollo Tyres,396.80,12.17,25200.81,1.26,630.97,254.71,7335.67,14.20,13.82
4.,CEAT,3191.50,17.25,12909.65,0.94,243.81,98.61,4218.89,23.34,18.74
5.,JK Tyre & Indust,381.85,12.45,11008.33,0.79,177.96,111.55,4223.44,12.37,15.52
6.,TVS Srichakra,4042.90,44.33,3096.86,0.42,36.09,169.70,980.94,19.86,7.54
7.,Goodyear India,733.00,22.23,1691.03,3.26,9.69,350.92,616.28,2.25,17.40
8.,Megamont,171.15,79.47,494.31,0.00,3.59,5228.57,286.60,,23.72
9.,Tolins Tyres,97.48,10.79,385.13,0.00,8.94,-3.66,77.99,12.17,13.01
10.,Modi Rubber,125.75,492.00,314.88,0.00,-13.88,-1276.27,12.03,70.88,0.63
11.,Indag Rubber,87.64,22.60,230.06,2.74,1.83,150.47,60.79,10.39,5.00
12.,Dolfin Rubbers,168.00,30.42,168.50,0.00,1.63,5.84,48.60,23.32,14.93
13.,Emerald Tyre,79.00,14.89,153.86,1.27,2.77,-31.60,112.94,11.90,12.26
14.,Viaz Tyres,64.45,17.50,92.21,0.00,3.26,59.80,65.74,127.63,12.99
15.,Innovative Tyres,76.95,,76.95,0.00,-0.17,97.60,47.28,73.25,0.65
16.,Tirupati Innovar,9.70,21.76,68.76,0.00,0.28,75.00,21.00,,2.34
17.,M M Rubber,65.25,,40.66,0.00,0.37,146.67,9.98,5.83,-3.11
18.,Cochin Malabar,141.00,,24.96,0.00,-0.15,-108.67,0.00,,-11.64
19.,Vamshi Rubber,41.99,26.39,17.68,0.00,0.19,111.11,18.71,-8.55,7.72
20.,Eastern Treads,27.55,,14.42,0.00,0.61,-526.09,13.45,-14.49,1.90
