S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,EMS,290.85,17.84,1615.11,0.52,5.71,-88.00,120.50,-55.34,12.51
2.,Antony Waste han,451.05,16.97,1280.34,0.00,36.90,48.90,285.77,17.77,11.16
3.,Z-Tech (India),603.00,24.31,871.83,0.00,19.14,125.18,58.83,68.13,19.76
4.,Eco Recyc.,433.50,36.18,836.51,0.00,7.14,267.79,18.61,90.48,29.97
5.,Effwa Infra,322.85,26.11,747.31,0.00,18.47,20.33,163.09,31.25,29.26
6.,Namo eWaste,230.00,36.65,525.95,0.00,7.36,135.90,107.28,29.25,21.33
7.,Concord Enviro,253.15,22.98,523.93,0.00,14.16,-78.51,206.04,-0.46,6.63
8.,Hi-Green Carbon,126.45,59.85,316.00,0.00,-1.30,-85.22,69.67,14.80,10.41
9.,VVIP Infratech,125.65,10.43,313.74,0.00,17.30,-36.60,153.25,-23.28,18.88
10.,Organic Recyclin,234.85,9.74,244.23,0.00,12.98,46.01,74.50,141.73,15.86
11.,Race Eco,109.14,27.86,188.35,0.00,1.96,25.68,182.48,-5.91,10.99
12.,Urban Enviro,133.00,7.74,115.18,0.00,5.79,120.15,95.48,38.16,33.15
13.,Gem Enviro,37.80,18.33,85.24,0.66,1.23,-18.00,40.73,10.05,12.06
14.,Greenleaf Envi.,62.30,5.11,36.94,0.00,4.34,26.90,39.54,38.88,34.47
15.,EP Biocomposites,94.00,10.83,15.81,0.00,1.37,65.06,9.57,25.92,16.27
